Video_Links,Duration
https://www.youtube.com/watch?v=RJC5JQ5_N80,0:02:03
https://www.youtube.com/watch?v=x0x6VoEN7cM,0:04:12
https://www.youtube.com/watch?v=-tsuiCaTjvM,0:04:36
https://www.youtube.com/watch?v=AXY7E4JJLKg,0:04:32
https://www.youtube.com/watch?v=hZK-igksxqU,0:04:01
https://www.youtube.com/watch?v=B8Gn52lX7uU,0:03:02
https://www.youtube.com/watch?v=FvjThX6Kfhk,0:04:31
https://www.youtube.com/watch?v=7ZElweCeojw,0:03:53
https://www.youtube.com/watch?v=hwgaW_I1RYw,0:05:15
https://www.youtube.com/watch?v=XUTgZY4omBk,0:06:40
https://www.youtube.com/watch?v=hymbESRg2LM,0:03:06
https://www.youtube.com/watch?v=qoRKIBMJNaU,0:03:59
https://www.youtube.com/watch?v=_UAm-s3vOAY,0:04:32
https://www.youtube.com/watch?v=HWXjD1r8IPY,0:04:51
https://www.youtube.com/watch?v=tZitX5wSWBs,0:03:43
https://www.youtube.com/watch?v=MgFdEa4B1TQ,0:04:49
https://www.youtube.com/watch?v=2XkhHjD3804,0:04:54
https://www.youtube.com/watch?v=HZ0tS6ywEFc,0:05:07
https://www.youtube.com/watch?v=t8mGQBZaWEU,0:05:16
https://www.youtube.com/watch?v=MfVZrIa7sBA,0:03:59
https://www.youtube.com/watch?v=j_Q_nofzoXk,0:06:48
https://www.youtube.com/watch?v=wJlrXYaTNpI,0:05:30
https://www.youtube.com/watch?v=xBtltouWWRU,0:04:41
https://www.youtube.com/watch?v=cx3oObOKC0Y,0:04:49
https://www.youtube.com/watch?v=HXan2Ai748g,0:04:29
https://www.youtube.com/watch?v=NEzp5-ugD2s,0:04:02
https://www.youtube.com/watch?v=wkyje9gQC34,0:04:43
https://www.youtube.com/watch?v=flcqPXteRFg,0:05:19
https://www.youtube.com/watch?v=Xv1spfWD5E0,0:06:58
https://www.youtube.com/watch?v=-ALagHVX36w,0:06:21
https://www.youtube.com/watch?v=uRYXio8tGM4,0:05:13
https://www.youtube.com/watch?v=DDef3YnrUZY,0:04:37
https://www.youtube.com/watch?v=E84Xeej68hY,0:03:36
https://www.youtube.com/watch?v=nxMuZN6hOi8,0:06:09
https://www.youtube.com/watch?v=q71hTCM9v-g,0:05:38
https://www.youtube.com/watch?v=daFUER2dqV4,0:07:33
https://www.youtube.com/watch?v=ZCDTt-PDTYo,0:05:40
https://www.youtube.com/watch?v=lbflnqqEXIE,0:04:32
https://www.youtube.com/watch?v=PRNQfBRMJ9I,0:05:08
https://www.youtube.com/watch?v=uVoWiLvEzpg,0:03:46
https://www.youtube.com/watch?v=W4qkWAZjJvc,0:04:17
https://www.youtube.com/watch?v=beEyExl_vLI,0:04:17
https://www.youtube.com/watch?v=eiIaGepfH2A,0:04:23
https://www.youtube.com/watch?v=sHLs_HjCyTI,0:04:10
https://www.youtube.com/watch?v=z26vT7SJz0c,0:04:56
https://www.youtube.com/watch?v=Q8G4-A-N3ck,0:05:23
https://www.youtube.com/watch?v=MURpyGn10l0,0:05:31
https://www.youtube.com/watch?v=T8oFzzylRhM,0:03:34
https://www.youtube.com/watch?v=r0s_xalKATM,0:05:28
https://www.youtube.com/watch?v=HiTOaheCfJ0,0:04:25
https://www.youtube.com/watch?v=DBkIS2H2IlM,0:05:29
https://www.youtube.com/watch?v=X5XPgM_TkVg,0:04:48
https://www.youtube.com/watch?v=1Q48Gouyuhs,0:04:08
https://www.youtube.com/watch?v=3QYZ1DQUT1M,0:04:51
https://www.youtube.com/watch?v=gzLd_FOGuPk,0:05:26
https://www.youtube.com/watch?v=9EG_pGqPcik,0:06:05
https://www.youtube.com/watch?v=CotchtL640Y,0:03:44
https://www.youtube.com/watch?v=-4ld-jlLS7A,0:05:07
https://www.youtube.com/watch?v=cVllWShU3jw,0:05:06
https://www.youtube.com/watch?v=GYV4ogHPv40,0:05:38
https://www.youtube.com/watch?v=ZBFy5bq1N3M,0:03:30
https://www.youtube.com/watch?v=WSbR0gCw9Yo,0:04:23
https://www.youtube.com/watch?v=FOhAPrpyirc,0:04:38
https://www.youtube.com/watch?v=AHFTbnu2l0Q,0:05:13
https://www.youtube.com/watch?v=lS1Z1iGLYkA,0:04:48
https://www.youtube.com/watch?v=70TaaUHmAtg,0:05:03
https://www.youtube.com/watch?v=GJHnAXz33aM,0:04:24
https://www.youtube.com/watch?v=HOqidyq3Mog,0:06:00
https://www.youtube.com/watch?v=_-GtCBg-_MA,0:03:47
https://www.youtube.com/watch?v=BgUMVKRYmhs,0:04:10
https://www.youtube.com/watch?v=M7xAmfQa0R4,0:05:47
https://www.youtube.com/watch?v=swSihPc3kS8,0:04:59
https://www.youtube.com/watch?v=dR-9J9hFOOI,0:03:51
https://www.youtube.com/watch?v=mt20bls8YUs,0:04:42
https://www.youtube.com/watch?v=2_SWLdUiTa4,0:04:40
https://www.youtube.com/watch?v=o4Hb_O0OFek,0:04:49
https://www.youtube.com/watch?v=OfQWV98H7Oo,0:05:20
https://www.youtube.com/watch?v=q6elQXDrhnE,0:06:06
https://www.youtube.com/watch?v=Z7bfX_pGUag,0:04:39
https://www.youtube.com/watch?v=sWxGCwVfs20,0:04:22
https://www.youtube.com/watch?v=EXHPlGwFYR8,0:05:22
https://www.youtube.com/watch?v=dbUbE4vcDSI,0:03:24
https://www.youtube.com/watch?v=mhydRXgPxEg,0:03:05
https://www.youtube.com/watch?v=_yaij8DoIj8,0:03:41
https://www.youtube.com/watch?v=BqGhsln5Les,0:03:58
https://www.youtube.com/watch?v=u-3qaY9oMG0,0:04:33
https://www.youtube.com/watch?v=94fIvgtFJX8,0:05:47
https://www.youtube.com/watch?v=QpDSWnnW1aM,0:04:38
https://www.youtube.com/watch?v=ups_HY-BRPM,0:05:51
https://www.youtube.com/watch?v=_ANOcSeGYas,0:03:40
https://www.youtube.com/watch?v=cq7vdw16mg4,0:06:27
https://www.youtube.com/watch?v=qMpLBNPtrkM,0:04:05
https://www.youtube.com/watch?v=GYMemTnvXos,0:04:22
https://www.youtube.com/watch?v=yv6-ThZjdU8,0:06:15
https://www.youtube.com/watch?v=7c7Yq4oIbX4,0:02:58
https://www.youtube.com/watch?v=p7MDnOPA9jw,0:02:45
https://www.youtube.com/watch?v=YLU5gTmNxog,0:04:54
https://www.youtube.com/watch?v=BDsrhM_GOVo,0:05:12
https://www.youtube.com/watch?v=4AlKdZfwSBQ,0:05:46
https://www.youtube.com/watch?v=iQh9ULM7b58,0:08:11
https://www.youtube.com/watch?v=WK-0k_Ueg8A,0:05:52
https://www.youtube.com/watch?v=RAp9E0nuWOs,0:07:51
https://www.youtube.com/watch?v=ZZippJOVaOY,0:05:09
https://www.youtube.com/watch?v=QhSiVC5szIc,0:05:42
https://www.youtube.com/watch?v=JvmUcWDkAcs,0:04:10
https://www.youtube.com/watch?v=IK3qypmnLjI,0:06:16
